Name, Memory , EC2Units ,Compute Units,HDDInGB,SSDInGB,Storage,Architecture,NetworkPerf,MaxIPs,InstanceCode,InstanceCategory
T2 Micro,1,0.5,Burstable,0,0,0 GB (EBS only),64-bit,Low to Moderate,4,t2.micro,General Purpose
T1 Micro,0.6,0.25,Burstable,0,0,0 GB (EBS only),32/64-bit,Very Low,4,t1.micro,General Purpose
T2 Small,2,0.75,Burstable,0,0,0 GB (EBS only),64-bit,Low to Moderate,8,t2.small,General Purpose
M1 General Purpose Small,1.7,1,1 (1 core x 1 unit),160,0,160 GB,32/64-bit,Low,8,m1.small,General Purpose
T2 Medium,4,1,Burstable,0,0,0 GB (EBS only),64-bit,Low to Moderate,18,t2.medium,General Purpose
M3 General Purpose Medium,3.75,3,3 (1 core x 3 unit),0,4,4 GB SSD,64-bit,Moderate,12,m3.medium,General Purpose
M1 General Purpose Medium,3.75,2,2 (1 core x 2 unit),410,0,410 GB,32/64-bit,Moderate,12,m1.medium,General Purpose
C3 High-CPU Large,3.75,7,7 (2 core x 3.5 unit),0,32,32 GB (2 * 16 GB SSD),64-bit,Moderate,30,c3.large,High CPU
C1 High-CPU Medium,1.7,5,5 (2 core x 2.5 unit),350,0,350 GB,32/64-bit,Moderate,12,c1.medium,High CPU
M3 General Purpose Large,7.5,6.5,6.5 (2 core x 3.25 unit),0,32,32 GB SSD,64-bit,Moderate,30,m3.large,General Purpose
M1 General Purpose Large,7.5,4,4 (2 core x 2 unit),840,0,840 GB (2 * 420 GB),64-bit,Moderate / 500 Mbps,30,m1.large,General Purpose
R3 High-Memory Large,15.25,6.5,6.5 (2 core x 3.25 unit),0,32,32 GB SSD,64-bit,Moderate,30,r3.large,High Memory
C3 High-CPU Extra Large,7.5,14,14 (4 core x 3.5 unit),0,80,80 GB (2 * 40 GB SSD),64-bit,Moderate / 500 Mbps,60,c3.xlarge,High CPU
M2 High Memory Extra Large,17.1,6.5,6.5 (2 core x 3.25 unit),420,0,420 GB,64-bit,Moderate,60,m2.xlarge,General Purpose
M3 General Purpose Extra Large,15,13,13 (4 core x 3.25 unit),0,80,80 GB (2 * 40 GB SSD),64-bit,High / 1000 Mbps,60,m3.xlarge,General Purpose
M1 General Purpose Extra Large,15,8,8 (4 core x 2 unit),1680,0,1680 GB (4 * 420 GB),64-bit,High / 1000 Mbps,60,m1.xlarge,General Purpose
R3 High-Memory Extra Large,30.5,13,13 (4 core x 3.25 unit),0,80,80 GB SSD,64-bit,Moderate / 500 Mbps,60,r3.xlarge,High Memory
C3 High-CPU Double Extra Large,15,28,28 (8 core x 3.5 unit),0,160,160 GB (2 * 80 GB SSD),64-bit,High / 1000 Mbps,60,c3.2xlarge,High CPU
M2 High Memory Double Extra Large,34.2,13,13 (4 core x 3.25 unit),850,0,850 GB,64-bit,Moderate / 500 Mbps,120,m2.2xlarge,General Purpose
C1 High-CPU Extra Large,7,20,20 (8 core x 2.5 unit),1680,0,1680 GB (4 * 420 GB),64-bit,High / 1000 Mbps,60,c1.xlarge,High CPU
M3 General Purpose Double Extra Large,30,26,26 (8 core x 3.25 unit),0,160,160 GB (2 * 80 GB SSD),64-bit,High / 1000 Mbps,120,m3.2xlarge,General Purpose
G2 Double Extra Large,15,26,26 (8 core x 3.25 unit),0,60,60 GB SSD,64-bit,High / 1000 Mbps,60,g2.2xlarge,Special Purpose
